IGHV3-98	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-96	1	75	76	99	100	150	151	174	175	288	VH	0
pIGHV3-89	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-87	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-84	1	75	76	99	100	150	151	174	175	288	VH	0
pIGHV3-83	1	75	76	99	100	150	151	174	175	289	VH	0
pIGHV3-82	1	75	76	99	100	150	151	174	175	288	VH	0
pIGHV3-81	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-79	1	75	76	99	100	150	151	174	175	288	VH	0
pIGHV3-78	1	75	76	99	100	150	151	174	175	273	VH	0
IGHV3-72	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-69	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-68	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-65	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-62	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-61	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-58	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV7-54	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-53	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-52	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-50	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV1-48	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-46	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-45	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-44	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-42	1	75	76	99	100	150	151	174	175	288	VH	0
pIGHV3-41	1	75	76	99	100	150	151	171	172	285	VH	0
pIGHV3-39	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-38	1	75	76	99	100	150	151	174	175	288	VH	0
orfIGHV7-36	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-34	1	75	76	99	100	150	151	174	175	288	VH	0
