IGLV1-10*01	1	75	76	99	100	150	151	159	160	267	VL	0
IGLV1-11*01	1	75	76	99	100	150	151	159	160	230	VL	0
IGLV1-12*01	1	75	76	99	100	150	151	159	160	267	VL	0
IGLV1-13*01	1	75	76	99	100	150	151	159	160	267	VL	0
IGLV1-14*01	1	75	76	99	100	150	151	159	160	267	VL	0
IGLV1-15*01	1	75	76	99	100	150	151	159	160	267	VL	0
IGLV1-2*01	1	75	76	102	103	153	154	162	163	270	VL	0
IGLV1-2*02	1	75	76	102	103	153	154	162	163	270	VL	0
IGLV1-6*01	1	75	76	99	100	150	151	159	160	267	VL	0
IGLV1-6*02	1	75	76	99	100	150	151	159	160	267	VL	0
IGLV1-7*01	1	75	76	99	100	150	151	159	160	267	VL	0
IGLV1-8*01	1	75	76	99	100	150	151	159	160	267	VL	0
IGLV1-9*01	1	75	76	99	100	150	151	159	160	267	VL	0
IGLV10-1*01	1	75	76	99	100	150	151	159	160	267	VL	0
IGLV11-1*01	1	75	76	102	103	153	154	174	175	288	VL	0
IGLV1S1*01	1	75	76	102	103	153	154	162	163	270	VL	0
IGLV1S2*01	1	75	76	102	103	153	154	162	163	270	VL	0
IGLV1S3*01	1	75	76	99	100	150	151	159	160	267	VL	0
IGLV1S4*01	1	75	76	99	100	150	151	159	160	267	VL	0
IGLV1S5*01	1	75	76	102	103	153	154	162	163	270	VL	0
IGLV1S6*01	1	75	76	99	100	150	151	159	160	267	VL	0
IGLV1S7*01	1	75	76	99	100	150	151	159	160	267	VL	0
IGLV2-10*01	1	75	76	102	103	129	
