IGHV1-1*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV2-1*01	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV2-2*01	1	75	76	105	106	156	157	177	178	291	VH	0
IGHV3-10*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-11*01	1	75	76	99	100	150	151	168	169	282	VH	0
IGHV3-12*01	1	75	76	99	100	150	151	180	181	294	VH	0
IGHV3-13*01	1	75	76	99	100	150	151	180	181	294	VH	0
IGHV3-14*01	2	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-17*01	3	75	76	99	100	150	151	171	172	285	VH	0
IGHV3-18*01	1	75	76	99	100	150	151	180	181	294	VH	0
IGHV3-20*01	1	75	76	99	100	150	151	180	181	294	VH	0
IGHV3-21*01	1	75	76	99	100	150	151	168	169	282	VH	0
IGHV3-22*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-24*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-5*01	1	75	76	99	100	150	151	180	181	294	VH	0
IGHV3-6*01	1	75	76	99	100	150	151	180	181	294	VH	0
IGHV3-7*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV3-9*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV4-2*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV5-1*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV5-2*01	1	75	76	99	100	150	151	174	175	288	VH	0
IGHV6-1*01	1	75	76	105	106	156	157	183	184	297	VH	0
IGHV7-1*01	1	75	76	99	100	150	151	174	175	288	VH	0
